date,gender,city,category,age_rate,count,avg_age,mid_age,crude_rate
2016/12/1,不分縣市,台北市,住宅部門售電量(度),397832851,397832851,397832851,397832851,397832851
2016/12/1,不分縣市,桃園市,住宅部門售電量(度),337314306,337314306,337314306,337314306,337314306
2016/12/1,不分縣市,台中市,住宅部門售電量(度),417484258,417484258,417484258,417484258,417484258
2016/12/1,不分縣市,台南市,住宅部門售電量(度),281818390,281818390,281818390,281818390,281818390
2016/12/1,不分縣市,高雄市,住宅部門售電量(度),381067551,381067551,381067551,381067551,381067551
2016/12/1,不分縣市,宜蘭縣,住宅部門售電量(度),60299426,60299426,60299426,60299426,60299426
2016/12/1,不分縣市,新竹縣,住宅部門售電量(度),84830982,84830982,84830982,84830982,84830982
2016/12/1,不分縣市,苗栗縣,住宅部門售電量(度),63151511,63151511,63151511,63151511,63151511
2016/12/1,不分縣市,彰化縣,住宅部門售電量(度),172587055,172587055,172587055,172587055,172587055
2016/12/1,不分縣市,南投縣,住宅部門售電量(度),70713806,70713806,70713806,70713806,70713806
2016/12/1,不分縣市,雲林縣,住宅部門售電量(度),91589191,91589191,91589191,91589191,91589191
2016/12/1,不分縣市,嘉義縣,住宅部門售電量(度),61366336,61366336,61366336,61366336,61366336
2016/12/1,不分縣市,屏東縣,住宅部門售電量(度),113962602,113962602,113962602,113962602,113962602
2016/12/1,不分縣市,台東縣,住宅部門售電量(度),29067919,29067919,29067919,29067919,29067919
2016/12/1,不分縣市,花蓮縣,住宅部門售電量(度),44327272,44327272,44327272,44327272,44327272
2016/12/1,不分縣市,基隆市,住宅部門售電量(度),55302284,55302284,55302284,55302284,55302284
2016/12/1,不分縣市,新竹市,住宅部門售電量(度),66368550,66368550,66368550,66368550,66368550
2016/12/1,不分縣市,嘉義市,住宅部門售電量(度),38984687,38984687,38984687,38984687,38984687
2016/12/1,不分縣市,澎湖縣,住宅部門售電量(度),11291807,11291807,11291807,11291807,11291807
2016/12/1,不分縣市,金門縣,住宅部門售電量(度),5625374,5625374,5625374,5625374,5625374
2016/12/1,不分縣市,連江縣,住宅部門售電量(度),1180902,1180902,1180902,1180902,1180902
2016/11/1,不分縣市,新北市,住宅部門售電量(度),724002572,724002572,724002572,724002572,724002572
2016/11/1,不分縣市,台北市,住宅部門售電量(度),492961940,492961940,492961940,492961940,492961940
2016/11/1,不分縣市,桃園市,住宅部門售電量(度),327548201,327548201,327548201,327548201,327548201
2016/11/1,不分縣市,台中市,住宅部門售電量(度),498509442,498509442,498509442,498509442,498509442
2016/11/1,不分縣市,台南市,住宅部門售電量(度),322415517,322415517,322415517,322415517,322415517
2016/11/1,不分縣市,高雄市,住宅部門售電量(度),551051198,551051198,551051198,551051198,551051198
2016/11/1,不分縣市,宜蘭縣,住宅部門售電量(度),69696677,69696677,69696677,69696677,69696677
2016/11/1,不分縣市,新竹縣,住宅部門售電量(度),87424669,87424669,87424669,87424669,87424669
2016/11/1,不分縣市,苗栗縣,住宅部門售電量(度),87026952,87026952,87026952,87026952,87026952
2016/11/1,不分縣市,彰化縣,住宅部門售電量(度),195726719,195726719,195726719,195726719,195726719
2016/11/1,不分縣市,南投縣,住宅部門售電量(度),62732282,62732282,62732282,62732282,62732282
2016/11/1,不分縣市,雲林縣,住宅部門售電量(度),107839129,107839129,107839129,107839129,107839129
2016/11/1,不分縣市,嘉義縣,住宅部門售電量(度),75647995,75647995,75647995,75647995,75647995
2016/11/1,不分縣市,屏東縣,住宅部門售電量(度),137902207,137902207,137902207,137902207,137902207
2016/11/1,不分縣市,台東縣,住宅部門售電量(度),29199507,29199507,29199507,29199507,29199507
2016/11/1,不分縣市,花蓮縣,住宅部門售電量(度),47817442,47817442,47817442,47817442,47817442
2016/11/1,不分縣市,基隆市,住宅部門售電量(度),54500733,54500733,54500733,54500733,54500733
2016/11/1,不分縣市,新竹市,住宅部門售電量(度),86396992,86396992,86396992,86396992,86396992
2016/11/1,不分縣市,嘉義市,住宅部門售電量(度),45728527,45728527,45728527,45728527,45728527
2016/11/1,不分縣市,澎湖縣,住宅部門售電量(度),15158494,15158494,15158494,15158494,15158494
2016/11/1,不分縣市,金門縣,住宅部門售電量(度),8856102,8856102,8856102,8856102,8856102
2016/11/1,不分縣市,連江縣,住宅部門售電量(度),1291449,1291449,1291449,1291449,1291449
2016/10/1,不分縣市,新北市,住宅部門售電量(度),820995887,820995887,820995887,820995887,820995887
2016/10/1,不分縣市,台北市,住宅部門售電量(度),555064823,555064823,555064823,555064823,555064823
2016/10/1,不分縣市,桃園市,住宅部門售電量(度),447335565,447335565,447335565,447335565,447335565
2016/10/1,不分縣市,台中市,住宅部門售電量(度),530065025,530065025,530065025,530065025,530065025
2016/10/1,不分縣市,台南市,住宅部門售電量(度),353796002,353796002,353796002,353796002,353796002
2016/10/1,不分縣市,高雄市,住宅部門售電量(度),460030958,460030958,460030958,460030958,460030958
2016/10/1,不分縣市,宜蘭縣,住宅部門售電量(度),80094837,80094837,80094837,80094837,80094837
2016/10/1,不分縣市,新竹縣,住宅部門售電量(度),113914678,113914678,113914678,113914678,113914678
2016/10/1,不分縣市,苗栗縣,住宅部門售電量(度),84698303,84698303,84698303,84698303,84698303
2016/10/1,不分縣市,彰化縣,住宅部門售電量(度),220388046,220388046,220388046,220388046,220388046
2016/10/1,不分縣市,南投縣,住宅部門售電量(度),83207731,83207731,83207731,83207731,83207731
2016/10/1,不分縣市,雲林縣,住宅部門售電量(度),113022536,113022536,113022536,113022536,113022536
2016/10/1,不分縣市,嘉義縣,住宅部門售電量(度),74851248,74851248,74851248,74851248,74851248
2016/10/1,不分縣市,屏東縣,住宅部門售電量(度),130829169,130829169,130829169,130829169,130829169
2016/10/1,不分縣市,台東縣,住宅部門售電量(度),35327570,35327570,35327570,35327570,35327570
2016/10/1,不分縣市,花蓮縣,住宅部門售電量(度),57215673,57215673,57215673,57215673,57215673
2016/10/1,不分縣市,基隆市,住宅部門售電量(度),75072514,75072514,75072514,75072514,75072514
2016/10/1,不分縣市,新竹市,住宅部門售電量(度),92339729,92339729,92339729,92339729,92339729
2016/10/1,不分縣市,嘉義市,住宅部門售電量(度),48707587,48707587,48707587,48707587,48707587
2016/10/1,不分縣市,澎湖縣,住宅部門售電量(度),14371979,14371979,14371979,14371979,14371979
2016/10/1,不分縣市,金門縣,住宅部門售電量(度),7954613,7954613,7954613,7954613,7954613
2016/10/1,不分縣市,連江縣,住宅部門售電量(度),1639521,1639521,1639521,1639521,1639521
2016/9/1,不分縣市,新北市,住宅部門售電量(度),977031896,977031896,977031896,977031896,977031896
2016/9/1,不分縣市,台北市,住宅部門售電量(度),661936192,661936192,661936192,661936192,661936192
2016/9/1,不分縣市,桃園市,住宅部門售電量(度),438741212,438741212,438741212,438741212,438741212
2016/9/1,不分縣市,台中市,住宅部門售電量(度),614915290,614915290,614915290,614915290,614915290
2016/9/1,不分縣市,台南市,住宅部門售電量(度),389089949,389089949,389089949,389089949,389089949
2016/9/1,不分縣市,高雄市,住宅部門售電量(度),646472836,646472836,646472836,646472836,646472836
2016/9/1,不分縣市,宜蘭縣,住宅部門售電量(度),95035747,95035747,95035747,95035747,95035747
2016/9/1,不分縣市,新竹縣,住宅部門售電量(度),115374864,115374864,115374864,115374864,115374864
2016/9/1,不分縣市,苗栗縣,住宅部門售電量(度),117327713,117327713,117327713,117327713,117327713
2016/9/1,不分縣市,彰化縣,住宅部門售電量(度),243237569,243237569,243237569,243237569,243237569
2016/9/1,不分縣市,南投縣,住宅部門售電量(度),71115386,71115386,71115386,71115386,71115386
2016/9/1,不分縣市,雲林縣,住宅部門售電量(度),134319959,134319959,134319959,134319959,134319959
2016/9/1,不分縣市,嘉義縣,住宅部門售電量(度),91167360,91167360,91167360,91167360,91167360
2016/9/1,不分縣市,屏東縣,住宅部門售電量(度),160465898,160465898,160465898,160465898,160465898
2016/9/1,不分縣市,台東縣,住宅部門售電量(度),35808065,35808065,35808065,35808065,35808065
2016/9/1,不分縣市,花蓮縣,住宅部門售電量(度),62021223,62021223,62021223,62021223,62021223
2016/9/1,不分縣市,基隆市,住宅部門售電量(度),73866028,73866028,73866028,73866028,73866028
2016/9/1,不分縣市,新竹市,住宅部門售電量(度),115223522,115223522,115223522,115223522,115223522
2016/9/1,不分縣市,嘉義市,住宅部門售電量(度),54724835,54724835,54724835,54724835,54724835
2016/9/1,不分縣市,澎湖縣,住宅部門售電量(度),19307896,19307896,19307896,19307896,19307896
2016/9/1,不分縣市,金門縣,住宅部門售電量(度),11675708,11675708,11675708,11675708,11675708
2016/9/1,不分縣市,連江縣,住宅部門售電量(度),1431259,1431259,1431259,1431259,1431259
2016/8/1,不分縣市,新北市,住宅部門售電量(度),917749047,917749047,917749047,917749047,917749047
2016/8/1,不分縣市,台北市,住宅部門售電量(度),622058536,622058536,622058536,622058536,622058536
2016/8/1,不分縣市,桃園市,住宅部門售電量(度),515673171,515673171,515673171,515673171,515673171
2016/8/1,不分縣市,台中市,住宅部門售電量(度),583708081,583708081,583708081,583708081,583708081
2016/8/1,不分縣市,台南市,住宅部門售電量(度),396001451,396001451,396001451,396001451,396001451
2016/8/1,不分縣市,高雄市,住宅部門售電量(度),523263979,523263979,523263979,523263979,523263979
2016/8/1,不分縣市,宜蘭縣,住宅部門售電量(度),91491351,91491351,91491351,91491351,91491351
2016/8/1,不分縣市,新竹縣,住宅部門售電量(度),129109150,129109150,129109150,129109150,129109150
2016/8/1,不分縣市,苗栗縣,住宅部門售電量(度),99447947,99447947,99447947,99447947,99447947
2016/8/1,不分縣市,彰化縣,住宅部門售電量(度),242608201,242608201,242608201,242608201,242608201
2016/8/1,不分縣市,南投縣,住宅部門售電量(度),86451285,86451285,86451285,86451285,86451285
2016/8/1,不分縣市,雲林縣,住宅部門售電量(度),127112245,127112245,127112245,127112245,127112245
2016/8/1,不分縣市,嘉義縣,住宅部門售電量(度),82707117,82707117,82707117,82707117,82707117
2016/8/1,不分縣市,屏東縣,住宅部門售電量(度),150885387,150885387,150885387,150885387,150885387
2016/8/1,不分縣市,台東縣,住宅部門售電量(度),40482079,40482079,40482079,40482079,40482079
2016/8/1,不分縣市,花蓮縣,住宅部門售電量(度),64740309,64740309,64740309,64740309,64740309
2016/8/1,不分縣市,基隆市,住宅部門售電量(度),84068116,84068116,84068116,84068116,84068116
2016/8/1,不分縣市,新竹市,住宅部門售電量(度),106899524,106899524,106899524,106899524,106899524
2016/8/1,不分縣市,嘉義市,住宅部門售電量(度),54067733,54067733,54067733,54067733,54067733
2016/8/1,不分縣市,澎湖縣,住宅部門售電量(度),15903703,15903703,15903703,15903703,15903703
2016/8/1,不分縣市,金門縣,住宅部門售電量(度),8908060,8908060,8908060,8908060,8908060
2016/8/1,不分縣市,連江縣,住宅部門售電量(度),1446738,1446738,1446738,1446738,1446738
2016/7/1,不分縣市,新北市,住宅部門售電量(度),813755180,813755180,813755180,813755180,813755180
2016/7/1,不分縣市,台北市,住宅部門售電量(度),556184164,556184164,556184164,556184164,556184164
2016/7/1,不分縣市,桃園市,住宅部門售電量(度),369602201,369602201,369602201,369602201,369602201
2016/7/1,不分縣市,台中市,住宅部門售電量(度),543769631,543769631,543769631,543769631,543769631
2016/7/1,不分縣市,台南市,住宅部門售電量(度),360297370,360297370,360297370,360297370,360297370
2016/7/1,不分縣市,高雄市,住宅部門售電量(度),622753927,622753927,622753927,622753927,622753927
2016/7/1,不分縣市,宜蘭縣,住宅部門售電量(度),78488774,78488774,78488774,78488774,78488774
2016/7/1,不分縣市,新竹縣,住宅部門售電量(度),96242766,96242766,96242766,96242766,96242766
2016/7/1,不分縣市,苗栗縣,住宅部門售電量(度),99824787,99824787,99824787,99824787,99824787
2016/7/1,不分縣市,彰化縣,住宅部門售電量(度),214699897,214699897,214699897,214699897,214699897
2016/7/1,不分縣市,南投縣,住宅部門售電量(度),64187755,64187755,64187755,64187755,64187755
2016/7/1,不分縣市,雲林縣,住宅部門售電量(度),124466877,124466877,124466877,124466877,124466877
2016/7/1,不分縣市,嘉義縣,住宅部門售電量(度),83521498,83521498,83521498,83521498,83521498
2016/7/1,不分縣市,屏東縣,住宅部門售電量(度),158845787,158845787,158845787,158845787,158845787
2016/7/1,不分縣市,台東縣,住宅部門售電量(度),32684818,32684818,32684818,32684818,32684818
2016/7/1,不分縣市,花蓮縣,住宅部門售電量(度),53676211,53676211,53676211,53676211,53676211
2016/7/1,不分縣市,基隆市,住宅部門售電量(度),60758408,60758408,60758408,60758408,60758408
2016/7/1,不分縣市,新竹市,住宅部門售電量(度),99105990,99105990,99105990,99105990,99105990
2016/7/1,不分縣市,嘉義市,住宅部門售電量(度),50810550,50810550,50810550,50810550,50810550
2016/7/1,不分縣市,澎湖縣,住宅部門售電量(度),17692211,17692211,17692211,17692211,17692211
2016/7/1,不分縣市,金門縣,住宅部門售電量(度),9937895,9937895,9937895,9937895,9937895
2016/7/1,不分縣市,連江縣,住宅部門售電量(度),1033670,1033670,1033670,1033670,1033670
2016/6/1,不分縣市,新北市,住宅部門售電量(度),645465560,645465560,645465560,645465560,645465560
2016/6/1,不分縣市,台北市,住宅部門售電量(度),434525354,434525354,434525354,434525354,434525354
2016/6/1,不分縣市,桃園市,住宅部門售電量(度),363731029,363731029,363731029,363731029,363731029
2016/6/1,不分縣市,台中市,住宅部門售電量(度),451929157,451929157,451929157,451929157,451929157
2016/6/1,不分縣市,台南市,住宅部門售電量(度),317116282,317116282,317116282,317116282,317116282
2016/6/1,不分縣市,高雄市,住宅部門售電量(度),428236848,428236848,428236848,428236848,428236848
2016/6/1,不分縣市,宜蘭縣,住宅部門售電量(度),64133873,64133873,64133873,64133873,64133873
2016/6/1,不分縣市,新竹縣,住宅部門售電量(度),90588267,90588267,90588267,90588267,90588267
2016/6/1,不分縣市,苗栗縣,住宅部門售電量(度),68509168,68509168,68509168,68509168,68509168
2016/6/1,不分縣市,彰化縣,住宅部門售電量(度),187294717,187294717,187294717,187294717,187294717
2016/6/1,不分縣市,南投縣,住宅部門售電量(度),73603055,73603055,73603055,73603055,73603055
2016/6/1,不分縣市,雲林縣,住宅部門售電量(度),106642340,106642340,106642340,106642340,106642340
2016/6/1,不分縣市,嘉義縣,住宅部門售電量(度),69978751,69978751,69978751,69978751,69978751
2016/6/1,不分縣市,屏東縣,住宅部門售電量(度),128380001,128380001,128380001,128380001,128380001
2016/6/1,不分縣市,台東縣,住宅部門售電量(度),32445040,32445040,32445040,32445040,32445040
2016/6/1,不分縣市,花蓮縣,住宅部門售電量(度),48236937,48236937,48236937,48236937,48236937
2016/6/1,不分縣市,基隆市,住宅部門售電量(度),57548960,57548960,57548960,57548960,57548960
2016/6/1,不分縣市,新竹市,住宅部門售電量(度),73921381,73921381,73921381,73921381,73921381
2016/6/1,不分縣市,嘉義市,住宅部門售電量(度),43459082,43459082,43459082,43459082,43459082
2016/6/1,不分縣市,澎湖縣,住宅部門售電量(度),12133304,12133304,12133304,12133304,12133304
2016/6/1,不分縣市,金門縣,住宅部門售電量(度),6055706,6055706,6055706,6055706,6055706
2016/6/1,不分縣市,連江縣,住宅部門售電量(度),1169656,1169656,1169656,1169656,1169656
2016/5/1,不分縣市,新北市,住宅部門售電量(度),601245391,601245391,601245391,601245391,601245391
2016/5/1,不分縣市,台北市,住宅部門售電量(度),404546258,404546258,404546258,404546258,404546258
2016/5/1,不分縣市,桃園市,住宅部門售電量(度),297756810,297756810,297756810,297756810,297756810
2016/5/1,不分縣市,台中市,住宅部門售電量(度),414576166,414576166,414576166,414576166,414576166
2016/5/1,不分縣市,台南市,住宅部門售電量(度),273547022,273547022,273547022,273547022,273547022
2016/5/1,不分縣市,高雄市,住宅部門售電量(度),460180020,460180020,460180020,460180020,460180020
2016/5/1,不分縣市,宜蘭縣,住宅部門售電量(度),60141136,60141136,60141136,60141136,60141136
